backend,B,H,H_kv,T,D,cuda_available,forward_ms,fwd_bwd_ms,peak_mem_mb,max_abs_err,tflops
naive,1,4,4,64,32,False,1.6541549994144589,5.181793007068336,0.0,0.0,0.0012678086399051808
reference,1,4,4,64,32,False,1.606862002518028,5.037362003349699,0.0,0.0,0.0013051226531672693
pytorch,1,4,4,64,32,False,0.2774029999272898,1.5797260130057111,0.0,8.940696716308594e-08,0.007559947082582688
triton,1,4,4,64,32,False,1.6192579932976514,4.969651999999769,0.0,0.0,0.0012951314791592337
naive,1,4,4,128,32,False,2.5383430038345978,7.464556998456828,0.0,0.0,0.0033047574686823587
reference,1,4,4,128,32,False,2.55938500049524,7.025170998531394,0.0,0.0,0.0032775873885237303
pytorch,1,4,4,128,32,False,0.8726780069991946,3.265444000135176,0.0,1.1920928955078125e-07,0.009612489294700127
triton,1,4,4,128,32,False,2.632200004882179,7.265488995471969,0.0,0.0,0.00318691892122213
naive,1,8,2,256,64,False,14.565667006536387,36.300467007094994,1.9140625,0.0,0.00921466404111596
reference,1,8,2,256,64,False,17.608188994927332,41.10870900331065,0.19140625,0.0,0.0076224606652430995
pytorch,1,8,2,256,64,False,9.29543400707189,58.578718002536334,0.0,1.1920928955078125e-07,0.014439102886200714
triton,1,8,2,256,64,False,15.800645007402636,37.20627000438981,2.01171875,0.0,0.008494446140465703
naive,1,8,2,512,64,False,62.99023199244402,107.1762560022762,0.0,0.0,0.008523081992528622
reference,1,8,2,512,64,False,46.14805099845398,107.6665820000926,0.0,0.0,0.011633663835943709
pytorch,1,8,2,512,64,False,31.830931999138556,130.14254700101446,0.0,1.2665987014770508e-07,0.016866327131562765
triton,1,8,2,512,64,False,47.18552499252837,107.44293101015501,7.9375,0.0,0.0113778730253613
naive,2,8,2,1024,64,False,315.8978199935518,894.3414670065977,3.9453125,0.0,0.013596065006360823
reference,2,8,2,1024,64,False,318.1755450059427,721.149566990789,0.1875,0.0,0.013498734781517483
pytorch,2,8,2,1024,64,False,196.27585100533906,631.3196319970302,0.0,1.1920928955078125e-07,0.02188230123064487
triton,2,8,2,1024,64,False,310.76872000994626,834.2376049986342,0.28515625,0.0,0.013820462033188341
