backend,T,B,H,H_kv,D,forward_ms,fwd_bwd_ms,tflops
naive,128,1,8,2,64,6.145363993709907,14.886367993312888,0.005460121163586839
reference,128,1,8,2,64,6.348495007841848,14.859127011732198,0.0052854151981772965
pytorch,128,1,8,2,64,2.7003289869753644,9.288464993005618,0.012426053329740493
triton,128,1,8,2,64,5.533421994186938,15.022047999082133,0.0060639568128456785
naive,256,1,8,2,64,15.18877100897953,36.94838599767536,0.0088366417480816
reference,256,1,8,2,64,16.364634007913992,38.944946994888596,0.008201694454950344
pytorch,256,1,8,2,64,8.720741985598579,28.02446100395173,0.015390631694143338
triton,256,1,8,2,64,27.930395997827873,67.43332601035945,0.004805435913276633
naive,512,1,8,2,64,45.43073600507341,108.22300799190998,0.011817350085194432
reference,512,1,8,2,64,44.536182991578244,106.06665100203827,0.012054713177856348
pytorch,512,1,8,2,64,32.81385400623549,126.31784200493712,0.01636110503502516
triton,512,1,8,2,64,41.589963002479635,100.26853499584831,0.012908665294268025
naive,1024,1,8,2,64,212.52055499644484,499.9736370082246,0.010104827968456624
reference,1024,1,8,2,64,242.61538300197572,356.0684739932185,0.008851391125444474
pytorch,1024,1,8,2,64,122.12315599026624,310.6822190020466,0.01758457379017591
triton,1024,1,8,2,64,226.49393499887083,377.72314601170365,0.009481417893201892
naive,2048,1,8,2,64,808.7624610052444,1581.6409429971827,0.010621084689468912
reference,2048,1,8,2,64,784.5443099940894,1614.2111329972977,0.010948947666276127
pytorch,2048,1,8,2,64,324.9678709980799,1045.2119219989982,0.02643318111915979
triton,2048,1,8,2,64,737.0032430044375,1647.8952579927864,0.011655219530625973
