model,rps,prompt_len_target,gen_len_target,arrival_pattern,n_requests_target,n_requests_actual,arrival_span_s,total_input_tokens,total_max_output_tokens,wallclock_sim_s,wallclock_cpu_s,kv_peak_gb,n_completed,n_preempted,n_errors,TTFT_p50_ms,TTFT_p95_ms,TTFT_max_ms,TPOT_p50_ms,TPOT_p95_ms,TPOT_mean_ms,E2E_p50_ms,E2E_p95_ms,E2E_max_ms,throughput_input_tps,throughput_output_tps,throughput_rps,cost_usd_per_1m_input,cost_usd_per_1m_output,cost_usd_per_successful_task
llama2-7b,4.0,256,64,poisson,200,200,49.756938167532304,48752,9675,51.19993897259814,0.07654108799761161,1.74755859375,200,0,0,16.709391195732728,35.62699809624802,39.2403153804608,19.999999999999574,20.000000000003126,20.00000000000091,1083.4323412766585,1291.2955490887248,1299.0469956366865,952.1886349530952,188.9650689852969,3.90625465602681,0.5834511515493169,2.9399907535227183,0.0001422220527016615
llama2-7b,4.0,256,256,poisson,200,200,49.756938167532304,48752,38696,54.71501507182166,0.14402146500651725,5.64990234375,200,0,0,16.243240503000855,37.353794256127365,39.941911844479705,19.999999999999734,20.000000000003126,20.000000000000984,4310.070159527024,5131.785454873458,5138.422358659785,891.0168431098061,707.228170351515,3.6553037541426243,0.6235073555024712,0.7855393476187843,0.00015198615297728238
llama2-7b,4.0,1024,64,poisson,200,200,49.756938167532304,195020,9675,51.31993897259816,0.08135686999594327,6.19921875,200,0,0,67.34003729071958,147.9920477215172,158.42235865989096,19.99999999999958,20.000000000003126,20.00000000000091,1148.1560218790614,1381.8302017920666,1418.4223586598641,3800.0824612073147,188.52321716839694,3.897120768338955,0.14619565791713146,2.9468813650644936,0.00014255538603499487
llama2-7b,4.0,1024,256,poisson,200,200,49.756938167532304,195020,38696,54.83501507182168,0.14401526599249337,16.0966796875,200,0,0,68.7082552769418,150.50750384659668,158.42235865989096,19.99999999999972,20.000000000003126,20.000000000000988,4378.352821912715,5221.402797696965,5258.422358659782,3556.486667224713,705.6804844371219,3.6473045505329846,0.156209092719327,0.7872621785746112,0.0001523194863106158
llama2-7b,4.0,2048,64,poisson,200,200,49.756938167532304,390031,9675,50.319938972598,0.08176683200872503,12.59716796875,187,0,13,126.06213609763373,281.04844746689673,314.44423249847995,19.999999999999574,20.000000000003126,20.00000000000092,1194.9426329816588,1504.3503912603383,1574.4442324984811,7751.022913847203,180.30626000839848,3.974567618393001,0.07167512749356675,3.0811773009416217,0.00014949476818953655
llama2-7b,4.0,2048,256,poisson,200,200,49.756938167532304,390031,38696,53.00134728158208,0.137107646005461,23.55517578125,183,0,17,127.69258587044874,253.2110528108014,312.7902831466116,19.999999999999755,20.000000000003126,20.000000000001005,4407.336523866182,5317.599572268185,5392.240150094972,7358.888405758234,667.416996252328,3.7734889820338555,0.07549449385872473,0.8323964757791673,0.00016090269362957523
llama2-7b,16.0,256,64,poisson,200,200,12.439234541883076,48752,9675,13.683753767954473,0.044014715997036546,3.8916015625,200,0,0,16.33542090280793,37.825287960789964,39.98547796055085,19.999999999999574,20.000000000000018,19.99999999999972,1079.111647530724,1290.8790488059685,1299.3359224437645,3562.76507358461,707.042830795272,14.615872471220094,0.15593381659503966,0.7857452637355424,3.8010427133206866e-05
llama2-7b,16.0,256,256,poisson,200,200,12.439234541883076,48752,38696,17.2037537679544,0.10707208300300408,15.12060546875,200,0,0,16.33542090280793,37.825287960789964,39.98547796055085,19.999999999999577,20.000000000000018,19.999999999999666,4315.017539881499,5130.879048805887,5139.335922443721,2833.800149523811,2249.276554520294,11.625369829027777,0.19604613107558436,0.24699299623208829,4.7788204910984445e-05
llama2-7b,16.0,1024,64,poisson,200,200,12.439234541883076,195020,9675,13.80375376795447,0.045498253995901905,14.31396484375,200,0,0,68.22756003579445,147.11340968535484,159.38644484887908,19.999999999999574,20.000000000000018,19.999999999999716,1148.8781088858584,1380.7255710192069,1419.0560151467012,14128.041058856075,700.8963041966595,14.488812489853425,0.03932290069381622,0.7926358752773167,3.83437604665402e-05
llama2-7b,16.0,1024,256,poisson,200,200,12.439234541883076,195020,38696,17.323753767954397,0.1127577890001703,41.15771484375,200,0,0,68.22756003579445,147.11340968535484,159.38644484887908,19.999999999999577,20.000000000000014,19.999999999999662,4375.017539881497,5220.725571019126,5259.056015146621,11257.375428687366,2233.6960290661796,11.544841994346596,0.04935036226470903,0.24871582718791488,4.812153824431777e-05
llama2-7b,16.0,2048,64,poisson,200,200,12.439234541883076,390031,9675,13.36533682039465,0.045570704009151086,27.5673828125,187,0,13,128.69445378278144,278.861577917059,315.1046419042975,19.999999999999574,20.000000000000018,19.9999999999997,1197.7854156029948,1498.1659755967898,1570.3191381427127,29182.279896219123,678.8455930384921,14.96408228895607,0.01903742810812851,0.818382797579794,3.9706883007708404e-05
llama2-7b,16.0,2048,256,poisson,200,200,12.439234541883076,390031,38696,17.205336820394567,0.10184618299535941,59.98828125,178,0,22,126.4624789842621,253.87805102380167,303.1975707867138,19.999999999999574,19.99999999999999,19.999999999999655,4443.904796562954,5318.252389670978,5388.060037523723,22669.18712905822,2004.2618380550357,11.624300185912514,0.024507078811106704,0.27718711448134664,5.3699553122330106e-05
llama2-7b,64.0,256,64,poisson,200,200,3.109808635470769,48752,9675,4.315938441988665,0.037037561007309705,9.86865234375,200,0,0,16.603194215615513,37.1849809393588,39.76400378671974,20.000000000000014,20.000000000000018,20.00000000000001,1079.7779118826925,1291.7878316348808,1299.7640037867209,11295.80522412095,2241.6909161341114,46.33986389941315,0.049182465927194614,0.24782879368295524,1.1988717894412959e-05
llama2-7b,64.0,256,256,poisson,200,200,3.109808635470769,48752,38696,8.115938441988584,0.10789325500081759,39.5009765625,200,0,0,16.603194215615513,37.1849809393588,39.76400378671974,19.999999999999865,20.000000000000014,19.999999999999865,4316.2543849703725,5131.787831634854,5139.7640037866395,6006.945512028143,4767.9021072661835,24.642868034247385,0.09248553269596443,0.1165199165286763,2.2544273449968293e-05
llama2-7b,64.0,1024,64,poisson,200,200,3.109808635470769,195020,9675,4.435938441988663,0.036932504997821525,37.04833984375,200,0,0,67.49009705308117,151.851721220869,159.76400378671985,20.000000000000014,20.000000000000018,20.00000000000001,1147.219527221484,1385.036032466484,1419.7640037867188,43963.63983639303,2181.049202220811,45.08628841800126,0.012636705186900098,0.2547194052247294,1.2322051227746285e-05
llama2-7b,64.0,1024,256,poisson,200,200,3.109808635470769,195020,38696,8.055938441988586,0.06816029398760293,59.99951171875,123,0,77,63.13292979205465,151.74322590609057,158.98352051141296,19.999999999999897,20.000000000000014,19.9999999999999,4323.428837130583,5219.048144693546,5253.651397416214,24208.22867557313,2959.8041459356255,24.826406189696574,0.022949037825147806,0.1877001072244726,3.6386352493173376e-05
llama2-7b,64.0,2048,64,poisson,200,200,3.109808635470769,390031,9675,4.416334205098706,0.03509958200447727,59.96923828125,175,0,25,122.58933328212002,285.5859926314563,318.77616047608416,20.000000000000018,20.000000000000018,20.00000000000001,1194.4463539007493,1492.878212839898,1577.5797845357195,88315.55355337578,1917.4273519027618,45.28642777285691,0.006290574346225337,0.28974008063682266,1.4020108587614938e-05
llama2-7b,64.0,2048,256,poisson,200,200,3.109808635470769,390031,38696,8.256334205098625,0.047052888010512106,59.98486328125,79,0,121,119.97767510643054,254.8995290571316,315.79939269667886,19.99999999999991,20.000000000000014,19.999999999999915,3957.5989748092356,5313.110285424049,5392.015009380911,47240.214641401006,1782.3890887207867,24.22382561457987,0.011760225049203531,0.31169151509689474,5.8061421976783585e-05
